FBgn0039722 	CP2B_DROME
FBgn0037100 	CAPAR_DROME
FBgn0042134 	CAPR1_DROME
FBgn0000256 	CAPU_DROME
FBgn0000257 	VP33A_DROME
FBgn0004878 	CAS_DROME
FBgn0022213 	XPO2_DROME
FBgn0013759 	CSKP_DROME
FBgn0000261 	CATA_DROME
FBgn0002022 	CSUP_DROME
FBgn0015919 	CAUP_DROME
FBgn0026257 	CAV_DROME
FBgn0011571 	CAZ_DROME
FBgn0033842 	CLP1_DROME
FBgn0022943 	NCBP2_DROME
FBgn0004580 	CAB32_DROME
FBgn0022942 	NCBP1_DROME
FBgn0011241 	AKTP1_DROME
FBgn0039007 	CCAP_DROME
FBgn0039396 	CCAPR_DROME
FBgn0031979 	CCD53_DROME
FBgn0261353 	COA3_DROME
FBgn0038199 	CCHA1_DROME
FBgn0050106 	CCH1R_DROME
FBgn0038147 	CCHA2_DROME
FBgn0033058 	CCH2R_DROME
FBgn0015019 	TCPG_DROME
FBgn0039774 	NCASE_DROME
FBgn0011573 	CDC37_DROME
FBgn0010341 	CDC42_DROME
FBgn0032821 	CDGAP_DROME
FBgn0004106 	CDK1_DROME
FBgn0004107 	CDK2_DROME
FBgn0013762 	CDK5_DROME
FBgn0015618 	CDK8_DROME
FBgn0037093 	CDK12_DROME
FBgn0026141 	DYL2_DROME
FBgn0010350 	CDSA_DROME
FBgn0000276 	CECA_DROME
FBgn0000277 	CECA_DROME
FBgn0000278 	CECB_DROME
FBgn0000279 	CECC_DROME
FBgn0029092 	CED6_DROME
FBgn0028509 	CEG1A_DROME
FBgn0266708 	CEP89_DROME
FBgn0000286 	CF2_DROME
FBgn0030121 	CXXC1_DROME
FBgn0000299 	CO4A1_DROME
FBgn0000303 	CLAT_DROME
FBgn0021760 	CLASP_DROME
FBgn0000319 	CLH_DROME
FBgn0250786 	CHD1_DROME
FBgn0023395 	CHD3_DROME
FBgn0031550 	IFT57_DROME
FBgn0014141 	FLNA_DROME
FBgn0000308 	PROF_DROME
FBgn0024248 	IRS1_DROME
FBgn0000307 	CHIF_DROME
FBgn0015371 	CHN_DROME
FBgn0029503 	CHRD1_DROME
FBgn0267435 	CHAO_DROME
FBgn0036165 	CHRB_DROME
FBgn0022702 	CHIT2_DROME
FBgn0250907 	CHIT3_DROME
FBgn0004859 	CI_DROME
FBgn0039689 	CIA30_DROME
FBgn0033972 	CIAO1_DROME
FBgn0001977 	DRE2_DROME
FBgn0262582 	CIC_DROME
FBgn0040477 	CID_DROME
FBgn0000316 	CIN_DROME
